"Job vacancies, proportion of job vacancies and average offered hourly wage by occupation and duration of job vacancy, quarterly, unadjusted for seasonality 1 2"
"Frequency: Quarterly"
"Table: 14-10-0328-03"
"Release date: 2022-06-21"
"Geography: Canada, Province or territory"
""
""

,"Geography","Saskatchewan",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Statistics","Job vacancies 3",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"National Occupational Classification 4","Job vacancy characteristics","Q1 2015","Q2 2015","Q3 2015","Q4 2015","Q1 2016","Q2 2016","Q3 2016","Q4 2016","Q1 2017","Q2 2017","Q3 2017","Q4 2017","Q1 2018","Q2 2018","Q3 2018","Q4 2018","Q1 2019","Q2 2019","Q3 2019","Q4 2019","Q1 2020","Q2 2020","Q3 2020","Q4 2020","Q1 2021","Q2 2021","Q3 2021","Q4 2021","Q1 2022"
,,"Number",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Occupations in manufacturing and utilities  [9]","Duration of job vacancy, all durations 6 7","F","295","345","155","135","185","x","115","385","240","280","x","215","255","285","155","195","295","345","x","280","..","..","250","425","450","545","580","655"
,"Less than 15 days 7","F","75","80","F","70","F","x","30","95","95","60","x","65","140","65","25","40","80","90","x","155","..","..","95","125","90","95","75","115"
,"15 to 29 days 7","F","80","195","45","F","F","x","45","215","100","F","x","50","F","90","F","35","75","80","x","30","..","..","40","F","190","120","130","220"
,"30 to 59 days 7","F","35","F","35","20","15","x","10","30","35","50","x","40","35","45","30","40","45","100","x","25","..","..","80","55","75","120","120","190"
,"60 to 89 days 7","F","F","10","F","0","0","x","F","F","0","F","x","F","5","F","5","F","F","0","x","F","..","..","F","0","30","50","105","10"
,"90 days or more 7","F","F","F","20","F","F","x","F","F","0","F","x","10","F","F","25","F","20","10","x","70","..","..","F","F","65","160","150","115"
,"90 to 119 days 7","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","F","..","..","F","10","F","45","80","F"
,"120 days or more 7","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","25","..","..","F","F","45","115","70","110"
"Unclassified occupations 8","Duration of job vacancy, all durations 6 7","..","650","275","385","155","370","x","F","F","F","F","x","x","x","x","x","F","x","x","x","x","..","..","x","F","x","x","x","x"
,"Less than 15 days 7","..","130","90","100","F","F","x","F","F","F","0","x","x","x","x","x","F","x","x","x","x","..","..","x","F","x","x","x","x"
